bed,bath,acre_lot,city,state,zip_code,house_size,price
3.0,2.0,0.4,Gardner,Massachusetts,1440.0,1274.0,312000.0
3.0,2.0,0.18,Cumberland,Rhode Island,2864.0,840.0,299900.0
5.0,4.0,2.25,Grafton,Massachusetts,1536.0,4574.0,1150000.0
4.0,2.0,0.44,South Windsor,Connecticut,6074.0,2272.0,329900.0
3.0,2.0,0.59,Bloomfield,Connecticut,6002.0,1655.0,289900.0
4.0,2.0,0.75,Enfield,Connecticut,6082.0,1768.0,309900.0
3.0,2.0,0.34,Westfield,Massachusetts,1085.0,1536.0,349900.0
2.0,2.0,0.11,Springfield,Massachusetts,1104.0,1240.0,209000.0
3.0,1.0,0.29,Enfield,Connecticut,6082.0,1180.0,270000.0
2.0,2.0,0.15,Glocester,Rhode Island,2814.0,528.0,299900.0
3.0,1.0,0.15,Greenfield,Massachusetts,1301.0,1416.0,235000.0
1.0,1.0,0.29,Greenfield,Massachusetts,1301.0,640.0,184900.0
4.0,3.0,0.39,Longmeadow,Massachusetts,1106.0,3264.0,699900.0
3.0,2.0,4.25,Copake,New York,12517.0,1512.0,790000.0
3.0,2.0,0.23,Leominster,Massachusetts,1453.0,2006.0,319900.0
3.0,3.0,1.95,Groton,Massachusetts,1450.0,2780.0,870000.0
4.0,3.0,15.46,Salisbury,Connecticut,6068.0,2128.0,625000.0
3.0,2.0,0.17,Keene,New Hampshire,3431.0,1424.0,325000.0
4.0,2.0,0.45,Ghent,New York,12075.0,4520.0,312000.0
3.0,2.0,0.28,Vernon,Connecticut,6066.0,1232.0,219900.0
4.0,3.0,1.59,Hopkinton,Massachusetts,1748.0,3030.0,850000.0
6.0,4.0,0.2,New Britain,Connecticut,6051.0,2060.0,345000.0
3.0,3.0,9.38,Northborough,Massachusetts,1532.0,2784.0,684900.0
4.0,4.0,1.59,Deerfield,Massachusetts,1373.0,3444.0,799000.0
6.0,3.0,0.19,Fitchburg,Massachusetts,1420.0,3024.0,399900.0
6.0,3.0,0.06,Worcester,Massachusetts,1603.0,3075.0,450000.0
5.0,3.0,0.59,Westfield,Massachusetts,1085.0,2287.0,324900.0
3.0,2.0,0.32,Framingham,Massachusetts,1701.0,2194.0,599900.0
3.0,1.0,0.11,Winchester,Connecticut,6098.0,1156.0,154500.0
5.0,4.0,1.0,Stow,Massachusetts,1775.0,3622.0,699900.0
3.0,2.0,1.56,Framingham,Massachusetts,1701.0,1620.0,599000.0
4.0,2.0,0.18,Springfield,Massachusetts,1119.0,1596.0,279900.0
1.0,1.0,0.29,Greenfield,Massachusetts,1301.0,640.0,184900.0
4.0,3.0,0.65,Amherst,Massachusetts,1002.0,3465.0,865000.0
3.0,1.0,0.21,West Springfield,Massachusetts,1089.0,1588.0,324900.0
4.0,2.0,0.16,Lee,Massachusetts,1238.0,2260.0,269000.0
7.0,3.0,0.52,Manchester,Connecticut,6040.0,3025.0,365000.0
6.0,3.0,0.06,Worcester,Massachusetts,1603.0,3075.0,450000.0
3.0,3.0,0.94,Bloomfield,Connecticut,6002.0,2222.0,379900.0
3.0,1.0,0.26,Chicopee,Massachusetts,1020.0,1048.0,199900.0
3.0,2.0,1.1,Sharon,Connecticut,6069.0,2186.0,485000.0
3.0,2.0,0.34,Westfield,Massachusetts,1085.0,1424.0,299413.0
3.0,3.0,1.04,Tolland,Connecticut,6084.0,1924.0,312000.0
2.0,1.0,0.14,Springfield,Massachusetts,1118.0,1024.0,199900.0
4.0,2.0,3.25,Ware,Massachusetts,1082.0,2200.0,399000.0
4.0,1.0,0.13,Great Barrington,Massachusetts,1230.0,1554.0,175000.0
3.0,2.0,0.41,Bloomfield,Connecticut,6002.0,1749.0,375000.0
3.0,2.0,1.21,Woonsocket,Rhode Island,2895.0,1408.0,299900.0
4.0,1.0,0.1,Springfield,Massachusetts,1109.0,1848.0,223500.0
5.0,2.0,0.11,Springfield,Massachusetts,1109.0,1892.0,179900.0
3.0,2.0,0.56,Enfield,Connecticut,6082.0,1480.0,339999.0
7.0,3.0,0.1,Wilton,New Hampshire,3086.0,2800.0,419900.0
4.0,2.0,2.57,Willington,Connecticut,6279.0,1646.0,340000.0
7.0,3.0,0.4,Spencer,Massachusetts,1562.0,4208.0,399000.0
3.0,2.0,1.15,Barkhamsted,Connecticut,6063.0,1440.0,299000.0
4.0,2.0,0.59,Suffield,Connecticut,6078.0,2091.0,399700.0
3.0,2.0,0.21,Worcester,Massachusetts,1602.0,1712.0,350000.0
4.0,3.0,2.41,Sutton,Massachusetts,1590.0,3480.0,749000.0
3.0,3.0,1.35,Suffield,Connecticut,6093.0,3340.0,459900.0
3.0,2.0,0.86,Spencer,Massachusetts,1562.0,1521.0,180000.0
3.0,3.0,0.22,West Hartford,Connecticut,6107.0,1635.0,359000.0
3.0,2.0,0.16,New Britain,Connecticut,6051.0,936.0,179900.0
4.0,2.0,3.25,Ware,Massachusetts,1082.0,2200.0,399000.0
3.0,2.0,0.22,Windsor,Connecticut,6095.0,1604.0,284900.0
